Gene_Model	CornCyc_EC	UniProt_EC
GRMZM2G037104_P01	2.3.1.51	2.3.1.51
GRMZM2G080001_P01	2.7.11.1	2.7.11.1
GRMZM2G008327_P01	2.7.11.22	2.7.11.22
GRMZM2G117240_P01	2.1.1.10	2.1.1.10
GRMZM2G051677_P02	2.7.1.4	2.7.1.4
GRMZM2G415359_P02	1.1.1.37	1.1.1.37
GRMZM2G025441_P01	1.11.1.7	1.11.1.7
GRMZM2G178192_P03	2.7.4.3	2.7.4.3
GRMZM2G113408_P01	3.6.3.14	3.6.3.14
GRMZM2G101698_P02	2.8.1.8	2.8.1.8
GRMZM2G063536_P01	3.2.2.22	3.2.2.22
GRMZM2G119256_P02	2.7.7.38	2.7.7.38
GRMZM2G419267_P01	2.4.2.38	2.4.2.38
GRMZM2G473001_P01	4.1.1.31	4.1.1.31
GRMZM2G005887_P05	2.5.1.47	2.5.1.47
GRMZM5G831712_P02	2.4.2.30	2.4.2.30
GRMZM2G005310_P02	2.1.1.37	2.1.1.37
GRMZM2G124455_P01	1.15.1.1	1.15.1.1
GRMZM2G104546_P02	1.1.1.3	1.1.1.3
GRMZM2G099231_P01	2.4.2.30	2.4.2.30
GRMZM2G089713_P02	2.4.1.13	2.4.1.13
GRMZM2G102183_P02	2.3.3.9	2.3.3.9
GRMZM2G139533_P02	5.3.1.23	5.3.1.23
GRMZM2G014392_P01	1.13.11.51	1.13.11.51
GRMZM2G046804_P01	1.2.1.12	1.2.1.12
GRMZM2G024104_P01	6.3.1.2	6.3.1.2
GRMZM2G087192_P01	1.3.1.42	1.3.1.42
GRMZM2G023194_P01	1.10.2.2	1.10.2.2
GRMZM2G036464_P01	6.3.1.2	6.3.1.2
GRMZM2G098346_P01	1.1.1.1	1.1.1.1
