BestHit	Merged EC
GRMZM2G058522	1.15.1.1
GRMZM2G058560	5.2.1.8
GRMZM2G058584	1.1.1.23
GRMZM2G058675	1.2.1.3
GRMZM2G058745	2.7.1.1
GRMZM2G058760	1.18.1.2
GRMZM2G059083	1.18.1.2
GRMZM2G059191	1.18.1.2
GRMZM2G059991	1.15.1.1
GRMZM2G060400	3.1.1.11
GRMZM2G060464	2.7.4.6
GRMZM2G060721	1.11.1.7
GRMZM2G060837	2.4.1.207
GRMZM2G061088	1.11.1.7
GRMZM2G061135	2.5.1.6
GRMZM2G061230	1.11.1.7
GRMZM2G061234	2.7.1.25
GRMZM2G061776	1.11.1.7
GRMZM2G061830	1.6.2.2
GRMZM2G061928	3.6.1.1
GRMZM2G061969	3.1.4.4
GRMZM2G062333	3.6.4.12
GRMZM2G062390	1.11.1.7
GRMZM2G062394	3.1.3.16
GRMZM2G062396	1.14.11.9
GRMZM2G062416	2.7.7.41
GRMZM2G062429	2.7.1.107
GRMZM2G062761	2.7.11.24
GRMZM2G062811	2.4.1.207
GRMZM2G062914	2.7.11.24
GRMZM2G063244	5.2.1.8
GRMZM2G063258	1.1.1.8
GRMZM2G063435	1.11.1.7
GRMZM2G063536	3.2.2.22
GRMZM2G063566	2.4.1.207
GRMZM2G063868	2.3.1.225
GRMZM2G063917	4.3.1.24
GRMZM2G063949	4.2.1.46
GRMZM2G064302	4.2.1.11
GRMZM2G064799	1.3.5.1
GRMZM2G064853	2.3.1.225
GRMZM2G065083	5.3.1.9
GRMZM2G065205	3.6.4.12
GRMZM2G066024	4.1.2.13
GRMZM2G066162	3.2.1.4
GRMZM2G066290	2.7.1.40
GRMZM2G066369	2.5.1.18
GRMZM2G066618	1.1.3.20
GRMZM2G067019	2.1.1.43
GRMZM2G067080	3.4.21.89
GRMZM2G067096	1.11.1.7
GRMZM2G067299	2.7.1.158
GRMZM2G068177	2.3.1.225
GRMZM2G068455	1.1.1.37
GRMZM2G068506	2.7.7.27
GRMZM2G068657	2.3.1.225
GRMZM2G068665	1.5.1.2
GRMZM2G068699	1.11.1.7
GRMZM2G068913	2.7.1.1
GRMZM2G068947	1.3.1.42
GRMZM2G068982	3.4.11.18
GRMZM2G069093	1.11.1.7
GRMZM2G069095	3.6.1.1
GRMZM2G069195	4.1.2.13
GRMZM2G069542	4.1.1.31
GRMZM2G069772	1.1.1.205
GRMZM2G070172	3.2.1.1
GRMZM2G070271	2.4.1.207
GRMZM2G070323	3.1.3.16
GRMZM2G070603	1.11.1.7
GRMZM2G071208	2.6.1.42
GRMZM2G071304	6.5.1.1
GRMZM2G071339	3.1.1.11
GRMZM2G071441	3.4.19.12
GRMZM2G071630	1.2.1.12
GRMZM2G071714	2.8.1.8
GRMZM2G071883	3.2.1.23
GRMZM2G072146	3.4.19.12
GRMZM2G072744	1.1.1.37
GRMZM2G072780	1.10.3.2
GRMZM2G072808	1.10.3.2
GRMZM2G073054	2.4.1.18
GRMZM2G073571	3.4.25.1
GRMZM2G073584	3.2.1.23
GRMZM2G073860	3.1.3.2
GRMZM2G074122	4.1.1.31
GRMZM2G074158	2.4.1.1
GRMZM2G074309	4.2.3.102
GRMZM2G074386	3.4.25.1
GRMZM2G074549	3.4.25.1
GRMZM2G074589	6.3.5.4
GRMZM2G074604	4.3.1.24
GRMZM2G074743	1.10.3.11
GRMZM2G074761	1.10.3.11
GRMZM2G074781	3.2.1.1
GRMZM2G075002	2.7.11.1
GRMZM2G075247	2.7.11.1
GRMZM2G075978	3.6.4.12
GRMZM2G076006	4.4.1.5
GRMZM2G076049	3.2.1.4
GRMZM2G076075	5.3.1.9
GRMZM2G076157	2.4.1.207
GRMZM2G076544	5.2.1.8
GRMZM2G076562	1.11.1.7
GRMZM2G076911	2.7.1.107
GRMZM2G077206	2.5.1.18
GRMZM2G077389	3.2.1.22
GRMZM2G077415	1.1.1.37
GRMZM2G077466	3.1.3.2
GRMZM2G078143	2.1.2.1
GRMZM2G078200	2.7.1.40
GRMZM2G078472	6.3.5.4
GRMZM2G079348	1.11.1.6
GRMZM2G079381	1.7.7.1
GRMZM2G079888	1.3.5.1
GRMZM2G079944	2.7.4.14
GRMZM2G080001	2.7.11.1
GRMZM2G080056	4.2.2.2
GRMZM2G080176	2.7.7.6
GRMZM2G080183	1.11.1.7
GRMZM2G080354	3.1.3.12
GRMZM2G080375	2.7.1.11
GRMZM2G080501	3.5.99.2
GRMZM2G080644	2.3.1.225
GRMZM2G080689	1.11.1.7
GRMZM2G081474	3.5.1.98
GRMZM2G081582	4.3.1.24
GRMZM2G081583	3.2.1.23
GRMZM2G081639	2.7.7.7
GRMZM2G081682	5.3.1.5
GRMZM2G081928	1.11.1.7
GRMZM2G082087	1.3.1.42
GRMZM2G082185	2.5.1.47
GRMZM2G082271	6.1.1.7
GRMZM2G082580	2.4.1.12
GRMZM2G082581	1.1.1.42
GRMZM2G082664	2.3.1.12
GRMZM2G083016	2.7.2.3
GRMZM2G083102	5.1.3.1
GRMZM2G083745	2.1.1.205
GRMZM2G083841	4.1.1.31
GRMZM2G084462	2.5.1.27
GRMZM2G084521	5.2.1.8
GRMZM2G084609	2.7.1.134
GRMZM2G085019	1.1.1.40
GRMZM2G085054	2.4.1.202
GRMZM2G085198	1.11.1.7
GRMZM2G085266	2.1.1.43
GRMZM2G085381	4.1.2.8;4.2.1.20
GRMZM2G085577	2.4.1.1
GRMZM2G085661	1.14.13.137
GRMZM2G085967	1.11.1.7
GRMZM2G086489	1.6.2.4
GRMZM2G086845	2.7.1.4
GRMZM2G087186	4.1.1.1
GRMZM2G087192	1.3.1.42
GRMZM2G087259	4.2.1.1
GRMZM2G087570	5.2.1.8
GRMZM2G087806	2.3.1.225
GRMZM2G088064	2.6.1.2
GRMZM2G088212	1.11.1.6
GRMZM2G088627	3.5.1.14
GRMZM2G088753	2.4.1.18
GRMZM2G088765	1.11.1.7
GRMZM2G089136	2.7.2.3
GRMZM2G089365	4.1.2.13
GRMZM2G089484	2.7.11.24
GRMZM2G089713	2.4.1.13
GRMZM2G089836	3.2.1.26
GRMZM2G089895	1.11.1.7
GRMZM2G089982	1.11.1.7
GRMZM2G090010	3.4.11.18
GRMZM2G090068	1.1.1.193
GRMZM2G090338	1.8.7.1
GRMZM2G090568	1.11.1.6
GRMZM2G090747	1.1.1.8
GRMZM2G090905	3.2.1.68
GRMZM2G091069	3.4.19.12
GRMZM2G091118	2.4.1.207
GRMZM2G091191	2.4.1.207
GRMZM2G091303	2.4.1.207
GRMZM2G091481	5.3.4.1
GRMZM2G092451	5.99.1.2
GRMZM2G092571	2.3.1.225
GRMZM2G092621	5.1.3.3
GRMZM2G092975	3.4.25.1
GRMZM2G093101	3.1.3.2
GRMZM2G093175	6.3.5.4
GRMZM2G094165	4.2.1.1
GRMZM2G094255	4.2.1.19
GRMZM2G094452	2.7.1.107
GRMZM2G094558	2.7.1.50
GRMZM2G094705	3.4.19.12
GRMZM2G094712	2.6.1.1
GRMZM2G095126	3.2.1.22
GRMZM2G095404	1.11.1.7
GRMZM2G096115	2.7.11.1
GRMZM2G096269	2.5.1.18
GRMZM2G097164	3.4.25.1
GRMZM2G097226	1.2.4.1
GRMZM2G097457	2.7.9.1
GRMZM2G097641	3.1.3.24
GRMZM2G097934	1.11.1.7
GRMZM2G097989	2.5.1.18
GRMZM2G098037	2.7.11.1
GRMZM2G098039	2.1.1.12
GRMZM2G098290	6.3.1.2
GRMZM2G098346	1.1.1.1
GRMZM2G098520	4.1.1.39
GRMZM2G098875	4.1.1.15
GRMZM2G099002	2.7.11.1
GRMZM2G099101	3.2.1.4
GRMZM2G099231	2.4.2.30
GRMZM2G099324	2.7.11.1
GRMZM2G099363	2.1.1.104
GRMZM2G099502	3.2.2.22
GRMZM2G100084	1.1.1.205
GRMZM2G100452	5.1.3.3
GRMZM2G100639	3.6.4.12
GRMZM2G100641	2.3.1.225
GRMZM2G100776	3.2.2.22
GRMZM2G101004	1.14.99.3
GRMZM2G101069	4.1.1.15
GRMZM2G101221	1.11.1.7
GRMZM2G101290	1.1.1.37
GRMZM2G101438	3.4.11.18
GRMZM2G101502	1.14.99.29
GRMZM2G101698	2.8.1.8
GRMZM2G102181	5.99.1.2
GRMZM2G102183	2.3.3.9
GRMZM2G102349	1.10.3.11
GRMZM2G102596	3.4.25.1
GRMZM2G102760	1.13.11.58
GRMZM2G103055	3.2.1.1
GRMZM2G103152	4.1.99.12
GRMZM2G103169	1.11.1.7
GRMZM2G103342	1.11.1.7
GRMZM2G103465	2.3.1.225
GRMZM2G103939	2.4.1.214
GRMZM2G104081	2.7.1.1
GRMZM2G104109	1.11.1.7
GRMZM2G104294	1.6.2.4
GRMZM2G104394	1.11.1.7
GRMZM2G104538	2.7.1.182
GRMZM2G104546	1.1.1.3;2.7.2.4
GRMZM2G104613	1.1.1.85
GRMZM2G104651	2.4.1.207
GRMZM2G104730	3.6.3.8
GRMZM2G104833	3.2.1.45
GRMZM2G104999	3.2.2.1
GRMZM2G106099	2.7.4.6
GRMZM2G106213	2.7.7.27
GRMZM2G106222	3.4.19.12
GRMZM2G106303	1.3.1.42
GRMZM2G106578	2.7.1.107
GRMZM2G106600	3.1.3.2
GRMZM2G106702	2.7.11.1
GRMZM2G106928	1.15.1.1
GRMZM2G107196	2.7.11.2
GRMZM2G107228	1.11.1.7
GRMZM2G107402	1.2.1.70
GRMZM2G107481	3.6.3.1
GRMZM2G107616	2.7.4.6
GRMZM2G107696	3.4.19.12
GRMZM2G108077	1.11.1.7
GRMZM2G108123	1.11.1.7
GRMZM2G108153	1.11.1.7
GRMZM2G108207	1.11.1.7
GRMZM2G108219	1.11.1.7
GRMZM2G108285	5.3.3.2
GRMZM2G108318	2.3.1.97
GRMZM2G108355	3.1.3.16
GRMZM2G108384	2.3.1.225
GRMZM2G108457	5.2.1.13
GRMZM2G108739	3.4.19.12
GRMZM2G108912	3.1.4.4
GRMZM2G109383	5.4.2.2
GRMZM2G109977	3.4.19.12
GRMZM2G110299	2.4.1.207
GRMZM2G110511	2.4.1.215
GRMZM2G110735	3.2.1.4
GRMZM2G111191	2.3.1.225
GRMZM2G111425	3.1.3.2
GRMZM2G111510	3.1.3.7
GRMZM2G111566	3.4.25.1
GRMZM2G111579	6.3.2.2
GRMZM2G111642	2.4.1.12
GRMZM2G111756	3.4.21.92
GRMZM2G112074	3.6.4.12
GRMZM2G112240	3.1.3.16
GRMZM2G112336	2.4.1.12
GRMZM2G112377	3.6.3.27
GRMZM2G112619	2.4.1.207
GRMZM2G112793	3.1.3.16
GRMZM2G112830	3.1.3.12
GRMZM2G112984	3.1.1.11
GRMZM2G113033	4.1.1.39
GRMZM2G113062	3.4.11.18
GRMZM2G113137	2.4.1.12
GRMZM2G113158	2.7.11.1
GRMZM2G113216	1.8.3.2
GRMZM2G113228	4.2.99.18
GRMZM2G113325	4.99.1.1
GRMZM2G113408	3.6.3.14
GRMZM2G113761	2.4.1.207
GRMZM2G113821	3.4.19.12
GRMZM2G113967	2.7.11.1
GRMZM2G114234	1.8.3.2
GRMZM2G114354	3.1.4.11
GRMZM2G114575	2.7.11.1
GRMZM2G115564	2.7.7.6
GRMZM2G115705	2.7.11.1
GRMZM2G116273	2.5.1.18
GRMZM2G116452	1.11.1.7
GRMZM2G116823	1.11.1.7
GRMZM2G116846	1.11.1.7
GRMZM2G116858	3.6.4.8
GRMZM2G116902	1.11.1.7
GRMZM2G116966	2.1.1.277
GRMZM2G117198	2.5.1.6
GRMZM2G117240	2.1.1.10
GRMZM2G117250	2.7.11.1
GRMZM2G117319	4.2.3.101
GRMZM2G117365	1.11.1.7
GRMZM2G117405	3.2.1.52
GRMZM2G117458	2.1.1.43
GRMZM2G117544	3.4.25.1
GRMZM2G117564	3.1.3.12
GRMZM2G117706	1.11.1.7
GRMZM2G118345	4.3.1.24
GRMZM2G118579	2.4.1.207
GRMZM2G118687	5.2.1.8
GRMZM2G118770	1.1.1.40
GRMZM2G118919	3.6.3.8
GRMZM2G119175	2.7.1.40
GRMZM2G119256	2.7.7.38
GRMZM2G119499	2.5.1.18
GRMZM2G119546	3.1.3.16
GRMZM2G119689	3.2.1.26
GRMZM2G119703	3.5.1.98
GRMZM2G119705	3.2.2.22
GRMZM2G119783	2.4.1.207
GRMZM2G119852	6.3.4.4
GRMZM2G119864	3.1.1.11
GRMZM2G120047	3.4.25.1
GRMZM2G120202	3.1.3.16
GRMZM2G120329	2.7.11.1
GRMZM2G120779	3.1.1.11
GRMZM2G120857	1.1.1.41
GRMZM2G121066	5.3.1.8
GRMZM2G121456	3.4.21.92
GRMZM2G121495	3.2.1.23
GRMZM2G121514	3.2.1.52
GRMZM2G121878	4.2.1.1
GRMZM2G122231	3.1.3.12
GRMZM2G122335	2.7.11.24
GRMZM2G122479	1.1.1.40
GRMZM2G122793	1.8.7.2
GRMZM2G122816	1.11.1.7
GRMZM2G122853	1.11.1.7
GRMZM2G122999	6.3.4.2
GRMZM2G123204	6.3.4.4
GRMZM2G123277	3.1.3.12
GRMZM2G123604	2.7.11.1
GRMZM2G123633	3.2.1.26
GRMZM2G124417	3.4.25.1
GRMZM2G124455	1.15.1.1
GRMZM2G124593	2.7.1.40
GRMZM2G125001	2.7.11.1
GRMZM2G125032	3.2.1.58;3.2.1.39
GRMZM2G125233	5.1.3.3
GRMZM2G125310	4.4.1.5
GRMZM2G125356	3.1.1.11
GRMZM2G125436	3.2.1.4
GRMZM2G125635	4.1.1.50
GRMZM2G125669	1.10.3.11
GRMZM2G125893	2.7.4.6
GRMZM2G125991	3.2.1.4
GRMZM2G126077	4.2.2.2
GRMZM2G126261	1.11.1.7
GRMZM2G126763	2.5.1.18
GRMZM2G126781	2.5.1.18
GRMZM2G126988	2.4.1.21
GRMZM2G127087	5.5.1.17
GRMZM2G127123	3.2.1.23
GRMZM2G127139	1.14.13.90
GRMZM2G127141	2.7.11.24
GRMZM2G127147	2.4.1.82
GRMZM2G127308	2.6.1.27
GRMZM2G127396	3.6.3.1
GRMZM2G127650	2.7.11.1
GRMZM2G127717	2.7.1.11
GRMZM2G127789	2.5.1.18
GRMZM2G127798	1.1.1.44
GRMZM2G127945	1.11.1.7
GRMZM2G127948	2.1.1.104
GRMZM2G128214	2.7.1.107
GRMZM2G128549	3.1.1.11
GRMZM2G128682	3.1.1.11
GRMZM2G128876	2.4.1.207
GRMZM2G128929	1.1.1.27
GRMZM2G129018	2.7.11.1
GRMZM2G129058	2.7.11.1
GRMZM2G129238	3.1.4.11
GRMZM2G129357	2.5.1.18
GRMZM2G129513	1.1.1.37;1.1.1.82
GRMZM2G129543	1.11.1.7
GRMZM2G129635	4.2.2.2
GRMZM2G129761	1.11.1.15
GRMZM2G129935	1.11.1.7
GRMZM2G130230	1.1.1.49
GRMZM2G130375	3.2.1.23
GRMZM2G130398	3.4.25.1
GRMZM2G130904	1.11.1.7
GRMZM2G130910	2.1.1.43
