MaizeHit	UniProt EC number
GRMZM2G139533_P02	5.3.1.23
GRMZM2G141535_P01	1.2.3.7
GRMZM2G143602_P01	2.7.11.1
GRMZM2G152470_P01	2.1.1.10
GRMZM2G152908_P01	2.4.1.13
GRMZM2G154397_P04	4.1.1.50
GRMZM2G154489_P02	2.7.11.1
GRMZM2G155242_P01	5.5.1.4
GRMZM2G157820_P02	2.1.1.43
GRMZM2G157836_P01	2.7.7.80; 2.8.1.11
GRMZM2G160526_P01	3.2.1.67
GRMZM2G160842_P02	2.7.7.80; 2.8.1.11
GRMZM2G161335_P01	2.4.1.202
GRMZM2G163437_P02	2.7.7.27
GRMZM2G167549_P05	1.14.13.138
GRMZM2G168474_P01	2.4.1.215
GRMZM2G168681_P01	2.5.1.10; 2.5.1.1
GRMZM2G169593_P03	4.2.1.20
GRMZM2G172491_P01	1.14.13.139
GRMZM2G172883_P01	3.5.1.98
GRMZM2G178192_P03	2.7.4.3
GRMZM2G178415_P06	1.4.1.3
GRMZM2G179092_P01	4.2.3.47
GRMZM2G180625_P02	1.2.1.12
GRMZM2G300133_P01	2.7.11.1
GRMZM2G320099_P01	3.5.4.26
GRMZM2G320175_P01	3.2.1.67
GRMZM2G325575_P01	1.16.3.1
GRMZM2G326111_P01	5.2.1.8
GRMZM2G328785_P01	2.7.11.1
GRMZM2G337113_P02	1.2.1.13
GRMZM2G345717_P01	1.14.11.19
GRMZM2G347056_P01	1.5.1.20
GRMZM2G361593_P01	2.7.1.64
GRMZM2G394259_P01	3.2.1.67
GRMZM2G415359_P02	1.1.1.37
GRMZM2G416632_P02	2.5.1.18
GRMZM2G421857_P04	3.6.3.14
GRMZM2G429899_P01	2.7.7.27
GRMZM2G442658_P04	1.1.1.1
GRMZM2G454952_P01	1.3.5.6
GRMZM2G456626_P01	2.7.1.134; 2.7.1.159
GRMZM2G473001_P01	4.1.1.31
GRMZM2G574782_P01	4.2.1.109; 3.1.3.77
GRMZM5G824600_P03	1.1.1.1; 1.1.1.284
GRMZM5G831712_P02	2.4.2.30
GRMZM5G833389_P02	5.4.2.12
GRMZM5G844143_P01	1.10.3.9
GRMZM5G844562_P01	1.1.1.195
GRMZM5G847530_P01	2.4.99.18
GRMZM5G851405_P02	2.3.1.48
GRMZM5G872068_P01	6.3.1.2
GRMZM5G875238_P01	2.4.1.14
GRMZM5G875502_P02	2.1.1.43
GRMZM5G879235_P01	2.7.7.6
GRMZM5G884538_P01	1.9.3.1
